name;link_a;link_b;transform_a;transform_b;label_a;label_b;turns;r_0;l_0;weave_length;turns;max_pressure


left_anterior_deltoid;8;14;0.6,-1.1,1;0,0,0;superior;inferior;20;1;2;2;5;80000
right_anterior_deltoid;8;15;-0.6,-1.1,1;0,0,0;superior;inferior;20;1;2;2;5;80000

left_superior_deltoid;8;14;0.9,0,2.9;0,0,0;superior;inferior;20;1;2;2;5;80000
right_superior_deltoid;8;15;-0.9,0,2.9;0,0,0;superior;inferior;20;1;2;2;5;80000

left_posterior_deltoid;8;14;1.1,1.5,0.9;0,0,0;superior;inferior;20;1;2;2;5;80000
right_posterior_deltoid;8;15;-1.1,1.5,0.9;0,0,0;superior;inferior;20;1;2;2;5;80000
